file;complex_int;complex_log;nonces;
archive-0;2164522432;31.011401606;3584;
archive-10;809652289536;39.55851151;10192;
archive-11;239321823104;37.8001610021;10192;
archive-12;54054190848;35.653687424;10192;
archive-13;969628464;29.8528568097;3920;
archive-14;19222533690;34.1620794567;4592;
archive-1;469221704;28.8056945063;3808;
archive-15;1515287782;30.496944669;4032;
archive-16;8275877016;32.9462650601;3248;
archive-17;7809566340;32.8625952927;3696;
archive-18;97267836408;36.5012437762;10192;
archive-19;3172366962;31.5629125177;3248;
archive-20;3883023024;31.8545331156;4032;
archive-21;1777624399872;40.6930876632;10192;
archive-22;807062958;29.5881059799;4592;
archive-23;7313618160;32.7679381603;3584;
archive-24;1186447505920;40.1097854089;10192;
archive-25;5361433313280;42.2857558777;10192;
archive-26;17560237320;34.0315932914;4816;
archive-2;7457969960;32.7961358401;3248;
archive-27;542624744;29.0153795959;3472;
archive-28;150794861120;37.1337963082;10192;
archive-29;23587825588;34.4573233807;4928;
archive-30;892215815680;39.6986017657;10192;
archive-31;8600042471424;42.9674809232;10192;
archive-3;1922805806080;40.8063502036;10192;
archive-32;592347188;29.1418677788;3248;
archive-33;1922878139392;40.8064044748;10192;
archive-34;1186386970112;40.1097117968;10192;
archive-35;698578150;29.3798462782;3136;
archive-36;5361433313280;42.2857558777;10192;
archive-37;6410174006;32.5777163737;2912;
archive-38;1777624399872;40.6930876632;10192;
archive-39;17759142656;34.0478428844;3472;
archive-40;5905588384;32.459433659;3696;
archive-41;8151629441024;42.8902256092;10192;
archive-42;829164990;29.6270839616;3248;
archive-4;3486729424;31.6992272669;4480;
archive-43;809652289536;39.55851151;10192;
archive-44;3145790784;31.5507755791;3024;
archive-45;5361433313280;42.2857558777;10192;
archive-46;892215815680;39.6986017657;10192;
archive-47;1923018880000;40.8065100656;10192;
archive-48;370601600000;38.4310781537;10192;
archive-49;1777624399872;40.6930876632;10192;
archive-50;1006078478;29.9060956993;10192;
archive-51;238865092;27.8316207913;5152;
archive-52;3080542696;31.5205373854;2912;
archive-53;214711504;27.6778242503;3248;
archive-54;8060880150528;42.8740745108;10192;
archive-55;2866442234;31.4166140594;2800;
archive-56;31455748544;34.8726046429;5040;
archive-57;766171547648;39.478876495;10192;
archive-58;1186294334976;40.1095991443;10192;
archive-59;1374351548;30.3561039351;2688;
archive-5;9345030684;33.121552255;3472;
archive-60;1167707384;30.1210316483;3696;
archive-6;11697997312;33.4455425116;4144;
archive-61;5361433313280;42.2857558777;10192;
archive-62;158024530432;37.2013575717;10192;
archive-63;44202641592;35.3634135379;10192;
archive-64;4884201348;32.1854755297;3472;
archive-65;1922805806080;40.8063502036;10192;
archive-66;8060880150528;42.8740745108;10192;
archive-67;8291911022;32.9490574894;3360;
archive-68;2776425076;31.3705813182;3584;
archive-69;669915025408;39.285187154;10192;
archive-70;6181158576;32.5252301315;4704;
archive-71;1777624399872;40.6930876632;10192;
archive-7;2454631742;31.1928594533;3024;
archive-72;8151359547392;42.890177842;10192;
archive-73;5318848104;32.308466691;2800;
archive-74;604555820;29.171300312;3248;
archive-75;1790409624;30.7376425504;3472;
archive-76;933815012;29.7985615406;2800;
archive-77;9348885905408;43.0879315898;10192;
archive-78;1186386970112;40.1097117968;10192;
archive-79;20339618540;34.2435735713;4032;
archive-80;164291254848;37.2574647321;10192;
archive-81;7513737362;32.8068835423;3808;
archive-82;6225382612;32.5355153619;5376;
archive-83;3028667250;31.4960359365;3360;
archive-84;8600042471424;42.9674809232;10192;
archive-85;899737588;29.7449290542;3696;
archive-86;38976206708;35.1818746385;10192;
archive-87;2248923188;31.0665872407;2912;
archive-88;8600042471424;42.9674809232;10192;
archive-89;1186540141056;40.1098980469;10192;
archive-8;3466068714;31.6906531099;3248;
archive-90;2945327004;31.4557806717;3024;
archive-91;8151359547392;42.890177842;10192;
archive-92;160357971360;37.2225051154;10192;
archive-9;34171815904;34.9920878641;6832;
archive-93;9939656908;33.2105489084;3360;
archive-94;9348885905408;43.0879315898;10192;
archive-95;27525504;24.7142656444;2576;
archive-96;531612467200;38.9515839824;10192;
archive-97;8634305556;33.0074330026;8064;
archive-98;240196260;27.8396384467;3024;
archive-99;1575337044;30.5530133808;3360;
