file;complex_int1;complex_int2;complex_log1;complex_log2;nonces1;nonces2;
archive-0;57658777368;5741660412;35.7468211942;32.4188208595;10192;7840;
archive-10;45771746396;9348885905408;35.4137382871;43.0879315898;5824;10192;
archive-11;162995128;3673792178;27.2802536014;31.7746228712;3472;3248;
archive-12;4780868480;2894112974;32.1546255722;31.4304740937;4032;4256;
archive-13;633169140;1044946852864;29.2380157008;39.9265667058;3248;10192;
archive-14;12620395772;290626745344;33.5550381024;38.0803765189;3920;10192;
archive-15;1163065960;8151359547392;30.1152857715;42.890177842;3136;10192;
archive-1;531023550;453582072320;28.9842006026;38.7225726631;2688;10192;
archive-16;1170937506;4996193959936;30.1250169339;42.1839666243;3696;9632;
archive-17;1481378778;20510426740;30.4642934286;34.2556384577;4144;3360;
archive-18;66166480;5361433313280;25.9795971957;42.2857558777;4368;10192;
archive-19;2710406962;392400128;31.3358623395;28.5477502713;6048;4928;
archive-20;8600042471424;766171547648;42.9674809232;39.478876495;10192;10192;
archive-21;1126131040256;8522310376;40.0345118525;32.9885974483;10192;3024;
archive-22;3919939280;1922878139392;31.8681841611;40.8064044748;6496;10192;
archive-2;246505949440;8600042471424;37.8428315103;42.9674809232;10192;10192;
archive-23;3785408784;7176707936;31.8178019584;32.7406750638;2576;3248;
archive-24;2621605454;8151359547392;31.2878034334;42.890177842;6384;10192;
archive-25;453582072320;645045448;38.7225726631;29.2648255713;10192;3136;
archive-26;7846224812;1843362124;32.8693515265;30.7796923667;2800;3024;
archive-27;52411206984;21908276476;35.6091562822;34.3507569409;4256;8960;
archive-28;5361433313280;7462399872;42.2857558777;32.7969925229;10192;10192;
archive-29;25684757192;12427436540;34.5801933843;33.5328096851;10192;3920;
archive-30;669891313664;3441679920;39.2851360886;31.6804657854;10192;3024;
archive-31;16565248676;7612003902;33.9474408101;32.8256291551;3360;3360;
archive-32;1083766712;2609366284;30.0134070944;31.2810523275;3024;3136;
archive-33;3628046400;981274582;31.756545761;29.8700816495;2912;4480;
archive-34;8600042471424;79273701452;42.9674809232;36.2061232892;10192;10192;
archive-35;1922946546688;22758001910;40.8064557984;34.4056548474;10192;4928;
archive-36;130062355968;158024530432;36.9204125061;37.2013575717;10192;10192;
archive-37;137142174080;1923018880000;36.9968813419;40.8065100656;10192;10192;
archive-38;529691184;316466728;28.9805762562;28.2374785877;3248;5152;
archive-39;1922878139392;5361433313280;40.8064044748;42.2857558777;10192;10192;
archive-3;979989730;101266593296;29.8681913894;36.5593673676;3360;10192;
archive-40;790767069184;150801562240;39.5244618363;37.1338604182;10192;10192;
archive-41;40665636628;4969288162;35.2430911486;32.2103920581;3920;3472;
archive-4;2425620516;669915025408;31.175706715;39.285187154;3248;10192;
archive-42;8151359547392;5648721496;42.890177842;32.3952772259;10192;3920;
archive-43;766171547648;1922805806080;39.478876495;40.8063502036;10192;10192;
archive-5;5424903968;1777624399872;32.3369504531;40.6930876632;3248;10192;
archive-6;9079328492;30057140716;33.0799384536;34.8069887236;3472;5600;
archive-7;1186386970112;3118499976;40.1097117968;31.5382051018;10192;4480;
archive-8;1923018880000;1923018880000;40.8065100656;40.8065100656;10192;10192;
archive-9;8151629441024;137142174080;42.8902256092;36.9968813419;10192;10192;
