file;complex_int1;complex_int2;complex_int3;complex_log1;complex_log2;complex_log3;nonces1;nonces2;nonces3;
archive-10;453582072320;1288730494;28798905840;38.7225726631;30.2633034454;34.7452949491;10192;2800;3024;
archive-11;441497172;2882100504;8600042471424;28.7178289559;31.4244734997;42.9674809232;3360;3360;10192;
archive-12;13297864716;2882927256;2977277164;33.6304755547;31.4248872882;31.4713463868;4704;3696;3360;
archive-13;1126131040256;453582072320;137142174080;40.0345118525;38.7225726631;36.9968813419;10192;10192;10192;
archive-14;9062837760;792045972;8869678048;33.0773157123;29.5610089289;33.0462345924;5712;2912;4592;
archive-15;1922878139392;365239353344;9505645994;40.8064044748;38.4100512631;33.1461375283;10192;10192;5376;
archive-16;13221456;1923018880000;2965823116;23.6563777252;40.8065100656;31.4657854109;4032;10192;3696;
archive-17;6307169028;8249260312;5361433313280;32.554345451;32.9416176167;42.2857558777;5264;3584;10192;
archive-18;9348885905408;6667960772;1923018880000;43.0879315898;32.6345984709;40.8065100656;10192;2800;10192;
archive-19;49956881920;1923018880000;166481760;35.5399643822;40.8065100656;27.3107888811;10192;10192;10192;
archive-1;1923018880000;239387005056;3226596040;40.8065100656;37.8005538825;31.5873658221;10192;10192;3696;
archive-20;437098988;2372854848;137142174080;28.703384797;31.1439767048;36.9968813419;2576;3248;10192;
archive-21;775750726;1626574083072;7251245440;29.531017901;40.5649736707;32.7555816609;4368;10192;10192;
archive-22;66640952;8151629441024;4455513824;25.9899056747;42.8902256092;32.0529446715;3024;10192;6048;
archive-23;457490708;8151359547392;19726670740;28.7691672005;42.890177842;34.1994284426;4032;10192;10192;
archive-24;4691049400;872699950;3082094696;32.1272635475;29.7009104736;31.5212640427;3024;3248;4592;
archive-25;773956144;3656089792;370772662;29.5276765779;31.7676543568;28.4659596335;2912;3920;10192;
archive-2;8600042471424;2484142492;753294928;42.9674809232;31.2101007838;29.4886395747;10192;4032;5376;
archive-3;788484784;518570364;1039224556;29.5545076736;28.9499645184;29.95286028;3808;3472;3360;
archive-4;5164551316;176524892;37887218916;32.2659958706;27.3952963932;35.1409921926;3584;2800;3584;
archive-5;466079388;137142174080;226551730;28.7960004713;36.9968813419;27.7552652667;3584;10192;3136;
archive-6;1147879342;6457074754;766171547648;30.0963238568;32.5882335833;39.478876495;3472;2912;10192;
archive-7;147309298540;145537134144;1098786708;37.1000575436;37.0825963509;30.0332642174;10192;10192;3136;
archive-8;809652289536;785056768000;706493146;39.55851151;39.5140060238;29.3961003235;10192;10192;4144;
archive-9;10073274352;1126131040256;11234612888;33.2298136614;40.0345118525;33.3872313632;3248;10192;3136;
