file;changed_keys;got_keys;
archive-1;4.000000;1.000000;
archive-81;4.000000;1.000000;
archive-37;4.000000;2.000000;
archive-32;4.000000;2.000000;
archive-38;4.000000;4.000000;
archive-36;4.000000;4.000000;
archive-4;4.000000;4.000000;
archive-61;4.000000;4.000000;
archive-49;4.000000;4.000000;
archive-7;4.000000;0.000000;
archive-12;4.000000;4.000000;
archive-34;4.000000;4.000000;
archive-9;4.000000;4.000000;
archive-64;4.000000;4.000000;
archive-86;4.000000;4.000000;
archive-10;4.000000;4.000000;
archive-60;4.000000;4.000000;
archive-46;4.000000;1.000000;
archive-18;4.000000;4.000000;
archive-67;4.000000;2.000000;
archive-59;4.000000;3.000000;
archive-5;4.000000;4.000000;
archive-43;4.000000;4.000000;
archive-70;4.000000;4.000000;
archive-27;4.000000;4.000000;
archive-54;4.000000;4.000000;
archive-21;4.000000;1.000000;
archive-25;4.000000;4.000000;
archive-63;4.000000;4.000000;
archive-17;4.000000;0.000000;
archive-33;4.000000;4.000000;
archive-13;4.000000;4.000000;
archive-68;4.000000;4.000000;
archive-26;4.000000;2.000000;
archive-85;4.000000;4.000000;
archive-28;4.000000;4.000000;
archive-11;4.000000;4.000000;
archive-24;4.000000;4.000000;
archive-35;4.000000;4.000000;
archive-47;4.000000;4.000000;
archive-19;4.000000;0.000000;
archive-16;4.000000;0.000000;
archive-77;4.000000;4.000000;
archive-42;4.000000;3.000000;
archive-2;4.000000;4.000000;
archive-0;4.000000;4.000000;
archive-8;4.000000;4.000000;
archive-62;4.000000;4.000000;
archive-73;4.000000;3.000000;
archive-52;4.000000;4.000000;
archive-71;4.000000;1.000000;
archive-56;4.000000;2.000000;
archive-75;4.000000;4.000000;
archive-50;4.000000;0.000000;
archive-76;4.000000;4.000000;
archive-23;4.000000;4.000000;
archive-57;4.000000;4.000000;
archive-45;4.000000;4.000000;
archive-55;4.000000;4.000000;
archive-83;4.000000;4.000000;
archive-30;4.000000;1.000000;
archive-44;4.000000;4.000000;
archive-74;4.000000;4.000000;
archive-15;4.000000;4.000000;
archive-39;4.000000;4.000000;
archive-40;4.000000;4.000000;
archive-80;4.000000;1.000000;
archive-41;4.000000;4.000000;
archive-82;4.000000;4.000000;
archive-65;4.000000;4.000000;
archive-69;4.000000;4.000000;
archive-79;4.000000;2.000000;
archive-84;4.000000;4.000000;
archive-58;4.000000;4.000000;
archive-72;4.000000;4.000000;
archive-3;4.000000;0.000000;
archive-22;4.000000;0.000000;
archive-78;4.000000;4.000000;
archive-53;4.000000;4.000000;
archive-6;4.000000;4.000000;
archive-20;4.000000;4.000000;
archive-31;4.000000;4.000000;
archive-14;4.000000;4.000000;
archive-29;4.000000;4.000000;
archive-48;3.000000;2.000000;
archive-51;4.000000;4.000000;
archive-66;4.000000;4.000000;
#Rate: 0.812680
